name,value,date
我和我的祖国,28612.1,2019-09-30
中国机长,20727.48,2019-09-30
攀登者,16733.71,2019-09-30
决胜时刻,61.25,2019-09-30
罗小黑战记,22.59,2019-09-30
哪吒之魔童降世,19.96,2019-09-30
诛仙Ⅰ,15.37,2019-09-30
周恩来回延安,12.39,2019-09-30
小小的愿望,7.82,2019-09-30
名侦探柯南：绀青之拳,6.57,2019-09-30
我和我的祖国,66596.12,2019-10-01
中国机长,46340.03,2019-10-01
攀登者,30284.269999999997,2019-10-01
决胜时刻,74.77,2019-10-01
罗小黑战记,69.67,2019-10-01
哪吒之魔童降世,144.27,2019-10-01
诛仙Ⅰ,15.37,2019-10-01
周恩来回延安,12.39,2019-10-01
小小的愿望,7.82,2019-10-01
名侦探柯南：绀青之拳,19.810000000000002,2019-10-01
雪人奇缘,1884.26,2019-10-01
疯狂梦幻城,29.36,2019-10-01
古田军号,21.96,2019-10-01
我和我的祖国,102462.06999999999,2019-10-02
中国机长,74578.32,2019-10-02
攀登者,40883.64,2019-10-02
决胜时刻,74.77,2019-10-02
罗小黑战记,153.15,2019-10-02
哪吒之魔童降世,393.92,2019-10-02
诛仙Ⅰ,15.37,2019-10-02
周恩来回延安,12.39,2019-10-02
小小的愿望,7.82,2019-10-02
名侦探柯南：绀青之拳,47.790000000000006,2019-10-02
雪人奇缘,3104.01,2019-10-02
疯狂梦幻城,66.46000000000001,2019-10-02
古田军号,21.96,2019-10-02
美食大冒险之英雄烩,161.35,2019-10-02
大话西游之成长的烦恼,22.16,2019-10-02
我和我的祖国,132725.44999999998,2019-10-03
中国机长,101314.61000000002,2019-10-03
攀登者,49889.99,2019-10-03
决胜时刻,74.77,2019-10-03
罗小黑战记,249.76,2019-10-03
哪吒之魔童降世,714.4000000000001,2019-10-03
诛仙Ⅰ,15.37,2019-10-03
周恩来回延安,12.39,2019-10-03
小小的愿望,7.82,2019-10-03
名侦探柯南：绀青之拳,78.9,2019-10-03
雪人奇缘,4343.22,2019-10-03
疯狂梦幻城,66.46000000000001,2019-10-03
古田军号,21.96,2019-10-03
美食大冒险之英雄烩,200.34,2019-10-03
大话西游之成长的烦恼,22.16,2019-10-03
亲密旅行,152.68,2019-10-03
疯狂斗牛场,36.2,2019-10-03
我和我的祖国,158545.96,2019-10-04
中国机长,126596.86000000002,2019-10-04
攀登者,57612.399999999994,2019-10-04
决胜时刻,74.77,2019-10-04
罗小黑战记,353.13,2019-10-04
哪吒之魔童降世,1069.49,2019-10-04
诛仙Ⅰ,15.37,2019-10-04
周恩来回延安,12.39,2019-10-04
小小的愿望,7.82,2019-10-04
名侦探柯南：绀青之拳,110.85000000000001,2019-10-04
